25100 
+Vehicle assignments
car0;z21
car1;z26
car2;z25
car3;z25
car4;z25
car5;z20
car6;z25
car7;z26
car8;z28
car9;z19
car10;z20
car11;z26
car12;z14
car13;z21
car14;z21
car15;z19
car16;z27
car17;z20
car18;z21
car19;z21
car20;z28
car21;z25
car22;z28
car23;z25
car24;z20
car25;z19
car26;z21
car27;z20
car28;z20
car29;z28
car30;z28
car31;z20
car32;z21
car33;z19
car34;z28
car35;z28
car36;z14
car37;z28
car38;z21
car39;z27
car40;z25
car41;z20
car42;z21
car43;z26
car44;z28
car45;z19
car46;z27
car47;z20
car48;z27
car49;z20
car50;z20
car51;z27
car52;z20
car53;z14
car54;z21
car55;z14
car56;z28
car57;z27
car58;z19
car59;z20
car60;z14
car61;z19
car62;z25
car63;z19
car64;z20
car65;z14
car66;z28
car67;z27
car68;z25
car69;z14
car70;z26
car71;z21
car72;z14
car73;z19
car74;z14
car75;z20
car76;z28
car77;z28
car78;z28
car79;z19
car80;z25
car81;z28
car82;z27
car83;z26
car84;z28
car85;z20
car86;z14
car87;z20
car88;z27
car89;z28
car90;z14
car91;z27
car92;z28
car93;z25
car94;z21
car95;z26
car96;z14
car97;z26
car98;z25
car99;z27
car100;z27
car101;z19
car102;z14
car103;z20
car104;z25
car105;z26
car106;z21
car107;z19
car108;z27
car109;z27
car110;z27
car111;z26
car112;z21
car113;z28
car114;z19
car115;z28
car116;z28
car117;z14
car118;z28
car119;z14
car120;z14
car121;z27
car122;z28
car123;z14
car124;z26
car125;z25
car126;z14
car127;z28
car128;z28
car129;z14
car130;z20
car131;z28
car132;z21
car133;z14
car134;z27
car135;z27
car136;z28
car137;z20
car138;z26
car139;z21
car140;z14
car141;z27
car142;z27
car143;z14
car144;z20
car145;z14
car146;z14
car147;z27
car148;z27
car149;z26
car150;z14
car151;z25
car152;z28
car153;z14
car154;z14
car155;z27
car156;z20
car157;z14
car158;z26
car159;z14
car160;z25
car161;z14
car162;z28
car163;z26
car164;z26
car165;z19
car166;z20
car167;z27
car168;z28
car169;z28
car170;z27
car171;z19
car172;z27
car173;z21
car174;z28
car175;z25
car176;z19
car177;z28
car178;z21
car179;z21
car180;z21
car181;z21
car182;z27
car183;z21
car184;z19
car185;z20
car186;z14
car187;z28
car188;z14
car189;z19
car190;z19
car191;z25
car192;z26
+Assigned requests
req0;car164
req1;car147
req2;car164
req3;car164
req7;car190
req26;car0
req39;car164
req70;car190
req144;car147
req151;car190
req192;car147
+Unassigned requests
req4
req5
req6
req8
req9
req10
req11
req12
req13
req14
req15
req16
req17
req18
req19
req20
req21
req22
req23
req24
req25
req27
req28
req29
req30
req31
req32
req33
req34
req35
req36
req37
req38
req40
req41
req42
req43
req44
req45
req46
req47
req48
req49
req50
req51
req52
req53
req54
req55
req56
req57
req58
req59
req60
req61
req62
req63
req64
req65
req66
req67
req68
req69
req71
req72
req73
req74
req75
req76
req77
req78
req79
req80
req81
req82
req83
req84
req85
req86
req87
req88
req89
req90
req91
req92
req93
req94
req95
req96
req97
req98
req99
req100
req101
req102
req103
req104
req105
req106
req107
req108
req109
req110
req111
req112
req113
req114
req115
req116
req117
req118
req119
req120
req121
req122
req123
req124
req125
req126
req127
req128
req129
req130
req131
req132
req133
req134
req135
req136
req137
req138
req139
req140
req141
req142
req143
req145
req146
req147
req148
req149
req150
req152
req153
req154
req155
req156
req157
req158
req159
req160
req161
req162
req163
req164
req165
req166
req167
req168
req169
req170
req171
req172
req173
req174
req175
req176
req177
req178
req179
req180
req181
req182
req183
req184
req185
req186
req187
req188
req189
req190
req191
req193
req194
req195
req196
req197
req198
req199
req200
req201
req202
req203
req204
req205
req206
req207
req208
req209
req210
req211
req212
req213
req214
req215
req216
req217
req218
req219
req220
req221
req222
req223
req224
req225
req226
req227
req228
req229
req230
req231
req232
req233
req234
req235
req236
req237
req238
req239
req240
req241
req242
req243
req244
req245
req246
req247
req248
req249
req250
req251
req252
req253
req254
req255
req256
req257
req258
req259
req260
req261
